t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_real_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
19450.0,3.749724614157625e-05,0.0,3.74841529012993e-05,-7.767646625895422e-30,3.747927822552031e-05,-8.180253485399365e-31,0.0,2.0864117534548813e-09,4.4373425918681914e-30,1.9992275029051757e-09
19700.0,3.7982725827043423e-05,0.0,3.796931669944533e-05,-7.927791331764233e-30,3.796437904127116e-05,-8.73642594180425e-31,0.0,2.1134588734245294e-09,1.3312027775604574e-30,2.0251932505142114e-09
20334.0,3.921609397848039e-05,0.0,3.920007853288181e-05,-3.6188640383609e-30,3.919498066586949e-05,-3.043415916886363e-31,0.0,2.1821448750864296e-09,-4.437342591868191e-31,2.0910882070986956e-09
20600.0,3.973411701318954e-05,0.0,3.9716619940812556e-05,-4.823666904205924e-30,3.9711454831227524e-05,-4.314069881036948e-31,0.0,2.2110121196859734e-09,-4.8810768510550105e-30,2.1187515917935387e-09
21219.0,4.093928466069203e-05,0.0,4.0919024830351146e-05,-3.641537043148164e-30,4.091370289666926e-05,-2.7050079680324426e-31,0.0,2.278274279388511e-09,-8.430950924549564e-30,2.183153340604845e-09
21480.0,4.1447024007898545e-05,0.0,4.1426174716459426e-05,-3.301847506380646e-30,4.1420786605452046e-05,-1.612047676200984e-31,0.0,2.306655959787569e-09,-2.2186712959340957e-30,2.210316668316575e-09
22103.0,4.2657740922076115e-05,0.0,4.2637108270266286e-05,-3.7660285635684566e-30,4.2631561880317914e-05,-3.479927006243549e-31,0.0,2.3744126146668092e-09,-2.662405555120915e-30,2.2751698441288516e-09
22380.0,4.319567896426675e-05,0.0,4.317568915272414e-05,-3.773483763958463e-30,4.317007226467643e-05,-2.486104054872987e-31,0.0,2.4045380679024515e-09,-7.543482406175925e-30,2.304014493882293e-09
22987.0,4.437472146957835e-05,0.0,4.435627189620624e-05,-1.2099773797273524e-30,4.435049994093418e-05,2.2415381622164397e-31,0.0,2.4705578442576683e-09,-3.549874073494553e-30,2.3672543415575215e-09
23280.0,4.4944355774015387e-05,0.0,4.492632365298379e-05,-2.898232130784e-30,4.492047676789748e-05,1.7093775112867256e-31,0.0,2.502434184430781e-09,1.3312027775604574e-30,2.3978018305038558e-09
23871.0,4.609449142207507e-05,0.0,4.607651659746388e-05,-3.3106402023204195e-30,4.607051839794384e-05,-5.780772227836409e-31,0.0,2.5667568709393164e-09,-7.099748146989106e-30,2.459462154911878e-09
24180.0,4.669638133184754e-05,0.0,4.667807872747127e-05,-3.9335945700792235e-30,4.667200172010852e-05,-2.3674797804561955e-31,0.0,2.600397706640923e-09,-3.993608332681372e-30,2.4917216650148483e-09
24755.0,4.781717845580782e-05,0.0,4.779784205215972e-05,-3.1950478310098885e-30,4.7791618908256164e-05,-1.6322808006543736e-31,0.0,2.6630008967544194e-09,-9.318419442923202e-30,2.551773768041668e-09
25060.0,4.841199252909618e-05,0.0,4.839198904095547e-05,-6.543586327189371e-30,4.8385688798177944e-05,-1.2338466248122255e-31,0.0,2.696220009494588e-09,0.0,2.5836364539382293e-09
25639.0,4.954161999616533e-05,0.0,4.9520248957091006e-05,-1.8153011587203553e-30,4.9513802519159604e-05,-2.912226653881383e-31,0.0,2.7593395724916562e-09,-2.662405555120915e-30,2.644137370686391e-09
25960.0,5.016818498407012e-05,0.0,5.014596139410353e-05,5.302657412574415e-31,5.013943378894806e-05,-2.761141384181812e-31,0.0,2.7943774092174783e-09,-7.543482406175925e-30,2.677691466277903e-09
26523.0,5.126734425825586e-05,0.0,5.124374086697143e-05,-1.7343827767556212e-31,5.123707011522949e-05,4.69219479076397e-32,0.0,2.855918725597393e-09,-8.430950924549564e-30,2.736572152281227e-09
26860.0,5.192516820761578e-05,0.0,5.1901059756759745e-05,1.430593500244064e-30,5.189430279885541e-05,-3.6342761928710663e-31,0.0,2.8928029779542254e-09,-8.430950924549564e-30,2.7718407438055865e-09
27407.0,5.299238183987796e-05,0.0,5.2968320743020703e-05,2.7677920511578437e-30,5.296142302537009e-05,1.4889819357942523e-31,0.0,2.9526704988889277e-09,-5.32481111024183e-30,2.8291269282190987e-09
27760.0,5.3680694112832926e-05,0.0,5.365728609516177e-05,1.0015843391421696e-30,5.365029740979253e-05,-1.2524307386484618e-31,0.0,2.9912738380675844e-09,3.549874073494553e-30,2.8661189953082007e-09
28292.0,5.471772691636205e-05,0.0,5.4695941186542e-05,6.717449171823804e-30,5.46888153430848e-05,-2.580814257289427e-31,0.0,3.049398698723184e-09,-6.656013887802287e-30,2.9218926222844377e-09
28660.0,5.543548231460487e-05,0.0,5.541463957042768e-05,4.0248922316453195e-30,5.5407419219767834e-05,-4.281713550624263e-32,0.0,3.0895903159443033e-09,3.106139814307734e-30,2.9604834563916452e-09
29176.0,5.644340243982802e-05,0.0,5.6422697008590076e-05,6.983984537024991e-30,5.641534449222553e-05,5.9740195785794e-31,0.0,3.1459785584683714e-09,-6.656013887802287e-30,3.014608500409845e-09
29540.0,5.715564333097262e-05,0.0,5.7134030077150404e-05,1.1072768984335168e-29,5.712658469164606e-05,3.7687490886733125e-32,0.0,3.185814664881053e-09,-3.106139814307734e-30,3.052802067315701e-09
30060.0,5.817452604858276e-05,0.0,5.8150540388799474e-05,9.049852241981036e-30,5.8142962541812334e-05,-1.0998220271316566e-31,0.0,3.2428277058511458e-09,-8.874685183736383e-31,3.1073943122514127e-09
30440.0,5.891957418790875e-05,0.0,5.8893613313532224e-05,1.275104783179754e-29,5.888593875844413e-05,-6.498113621544857e-31,0.0,3.2845589080316385e-09,-7.987216665362745e-30,3.147314718688701e-09
30944.0,5.990740786042063e-05,0.0,5.987947386530815e-05,1.4172909655227932e-29,5.987167087880772e-05,-8.430015418408627e-31,0.0,3.339951592428423e-09,-3.106139814307734e-30,3.2002991915360083e-09
31340.0,6.0682772656755254e-05,0.0,6.065432773418104e-05,1.28186909799609e-29,6.0646423666832473e-05,-9.79647071857322e-31,0.0,3.3834784914334065e-09,-7.987216665362745e-30,3.241954861248581e-09
31828.0,6.163711419052351e-05,0.0,6.160950026495911e-05,7.455681864957506e-30,6.160147108171019e-05,-9.39050656775014e-31,0.0,3.437096759179788e-09,-4.4373425918681914e-30,3.2933109256945657e-09
32240.0,6.244248025888497e-05,0.0,6.241617599673626e-05,7.34255789014472e-30,6.240804092856516e-05,-2.411927908532452e-31,0.0,3.4823449725573254e-09,8.874685183736383e-31,3.3366825053489883e-09
32712.0,6.336567227843834e-05,0.0,6.334062124033134e-05,9.386251678128965e-30,6.333236432556776e-05,-2.9399506892289436e-31,0.0,3.5341723672436018e-09,3.549874073494553e-30,3.3863816726622488e-09
33140.0,6.420360940518027e-05,0.0,6.417915914212875e-05,1.2737088082244863e-29,6.417079157796757e-05,-1.0220061304519037e-30,0.0,3.581177207599895e-09,-8.874685183736383e-31,3.4314626410483065e-09
33596.0,6.509742978667325e-05,0.0,6.507283721768437e-05,1.1779344965932805e-29,6.50643514702222e-05,-1.0160910734564491e-30,0.0,3.6312807660815543e-09,-7.099748146989106e-30,3.479516855777305e-09
34020.0,6.592956646023804e-05,0.0,6.590406239902494e-05,9.720844627061583e-30,6.589546685508991e-05,-4.997110376171488e-31,0.0,3.6779002637032e-09,8.874685183736383e-31,3.524230174500688e-09
34480.0,6.683300689958797e-05,0.0,6.680614830927271e-05,9.386014365178897e-30,6.67974338202467e-05,-1.3325074213076788e-30,0.0,3.7285333750453704e-09,-2.2186712959340957e-30,3.5727751702417203e-09
34920.0,6.76974374572985e-05,0.0,6.766929062169737e-05,7.27415790988178e-30,6.766046276755931e-05,-1.6930680147967697e-30,0.0,3.777031691259308e-09,4.437342591868191e-31,3.6192380410938007e-09
35365.0,6.857192143049193e-05,0.0,6.854251746228672e-05,3.2583309126300595e-30,6.853357542812617e-05,-2.049951935215302e-30,0.0,3.826145591547311e-09,-4.437342591868191e-31,3.666247923772247e-09
35820.0,6.946610732718036e-05,0.0,6.943565453856917e-05,1.8985880636264914e-30,6.942659629656495e-05,-1.6306128965280353e-30,0.0,3.876416135715816e-09,-4.437342591868191e-31,3.714328191128228e-09
36249.0,7.030905016126321e-05,0.0,7.027802174351593e-05,-1.9242997654049558e-30,7.026885393566334e-05,-1.9042487007319605e-30,0.0,3.923837682215907e-09,-8.874685183736383e-30,3.759672033311245e-09
36720.0,7.123430436644187e-05,0.0,7.120315666850029e-05,-1.5975022572845604e-30,7.119386841716749e-05,-2.0770792106687025e-30,0.0,3.975878871163681e-09,-3.993608332681372e-30,3.80947354818759e-09
37133.0,7.20453414886369e-05,0.0,7.201462592914552e-05,1.1975286208176358e-30,7.200523136750447e-05,-1.9379765531059537e-30,0.0,4.021469267296739e-09,-1.7749370367472766e-30,3.853164127441144e-09
37600.0,7.296207426160032e-05,0.0,7.293248532311146e-05,-2.4987062416597526e-30,7.292296980778352e-05,-2.0615138265132752e-30,0.0,4.072978149554737e-09,3.993608332681372e-30,3.902600927930993e-09
38017.0,7.378091447472716e-05,0.0,7.375233326484353e-05,-4.012274915890624e-30,7.374270901303145e-05,-1.8823617575691807e-30,0.0,4.118976628542478e-09,-5.768545369428649e-30,3.946775521626695e-09
