nu_t_over_M,FastEMRIWaveforms_R_h20_over_nu_M,arXiv_2407_19017_Fig3_R_h20_over_nu_M
-111.10011817573546,0.07724509529591896,0.07788056275264245
-110.82010849702638,0.07727070169469144,0.07789694193213492
-110.54080451495769,0.07729629884304796,0.07791327983186881
-110.262204451916,0.0773218867231265,0.07792957655582568
-109.98430653333966,0.07734746532382963,0.07794583220780861
-109.70710898985487,0.07737303463386819,0.07796204689131721
-109.43061005636021,0.07739859464159586,0.07797822070960116
-109.15480797202665,0.07742414533508046,0.07799435376566023
-108.87970098060268,0.07744968670208348,0.07801044616222647
-108.60528733041436,0.07747521872997021,0.07802649800176409
-108.3315652740601,0.07750074140585031,0.07804250938648745
-108.05853306841071,0.07752625471646458,0.07805848041836097
-107.78618897491455,0.07755175864830278,0.07807441119908132
-107.51453125929231,0.07757725318749027,0.07809030183009524
-107.24355819184228,0.07760273831983613,0.07810615241258172
-106.97326804682993,0.07762821403090538,0.07812196304748768
-106.7036591037086,0.0776536803059047,0.07813773383545658
-106.43472964467819,0.07767913712980132,0.07815346487697122
-106.16647795804197,0.07770458448718454,0.07816915627215738
-105.89890233576526,0.07773002236240832,0.07818480812092664
-105.6320010734754,0.0777554507395469,0.07820042052297634
-105.36577247137728,0.07778086960237313,0.07821599357773608
-105.10021483486369,0.0778062789343603,0.078231527384332
-104.83532647268429,0.0778316787187079,0.07824702204169387
-104.57110569847141,0.07785706893834352,0.07826247764846585
-104.30755082860395,0.07788244957597264,0.07827789430313142
-104.04466018586936,0.07790782061393778,0.07829327210379922
-103.78243209610679,0.07793318203436299,0.07830861114839936
-103.52086488912259,0.07795853381913255,0.0783239115346299
-103.25995689960584,0.07798387594979664,0.0783391733599033
-102.99970646590764,0.07800920840771738,0.07835439672141775
-102.74011193126178,0.07803453117397463,0.07836958171608592
-102.48117164225899,0.0780598442293918,0.07838472844062402
-102.22288394976229,0.07808514755456199,0.07839983699149843
-101.96524720982266,0.07811044112977693,0.078414907464872
-101.70825978154274,0.07813572493515028,0.07842993995672912
-101.45192002799234,0.07816099895052213,0.07844493456282207
-101.1962263177344,0.07818626315548508,0.07845989137858186
-100.94117702207834,0.07821151752941055,0.07847481049927883
-100.68677051660596,0.07823676205145036,0.07848969201993339
-100.43300518208694,0.07826199670048964,0.0785045360352625
-100.1798794023427,0.07828722145522193,0.07851934263980459
-99.92739156485663,0.07831243629410195,0.07853411192788391
-99.67554006260522,0.07833764119537188,0.07854884399350337
-99.42432329161664,0.07836283613698845,0.07856353893048737
-99.17373965249661,0.07838802109679842,0.07857819683239257
-98.92378754890255,0.07841319605236638,0.07859281779259711
-98.67446538998492,0.07843836098105092,0.07860740190415778
-98.42577158764071,0.07846351586000606,0.07862194925997078
-98.17770455834449,0.07848866066620809,0.07863645995266447
-97.93026272223281,0.07851379537640718,0.07865093407465307
-97.6834445040198,0.07853891996712836,0.07866537171808297
-97.43724833208164,0.07856403441472369,0.0786797729748864
-97.1916726384565,0.07858913869534857,0.07869413793678136
-96.94671585945494,0.07861423278496325,0.07870846669523593
-96.7023764350496,0.07863931665935972,0.078722759341504
-96.45865280979062,0.07866439029406129,0.07873701596657166
-96.21554343158502,0.07868945366450239,0.07875123666122869
-95.97304675200184,0.07871450674587706,0.07876542151605062
-95.7311612271877,0.07873954951321688,0.07877957062134522
-95.48988531664605,0.07876458194169925,0.07879368406722392
-95.24921748415275,0.07878960401359034,0.07880776194354822
-95.00915619714566,0.07881461571792302,0.07882180433996541
-94.76969992733504,0.07883961704373174,0.07883581134587288
-94.53084714948284,0.07886460797978607,0.0788497830504895
-94.29259634262338,0.07888958851448906,0.07886371954278423
-94.05494598975821,0.07891455863598289,0.07887762091149396
-93.81789457755089,0.0789395183321253,0.07889148724514139
-93.58144059663218,0.0789644675904395,0.07890531863201714
-93.34558254160007,0.07898940639816814,0.07891911516017976
-93.11031890979906,0.07901433474232808,0.07893287691752716
-92.87564820376156,0.07903925260958128,0.07894660399165379
-92.64156892876646,0.07906415998634168,0.07896029646999343
-92.40807959436506,0.07908905685875105,0.07897395443972995
-92.17517871377072,0.07911394321262798,0.07898757798783299
-91.94286480416393,0.07913881903357567,0.07900116720104015
-91.71113638608213,0.0791636843069044,0.07901472216589268
-91.47999198341957,0.07918853901768677,0.07902824296873545
-91.2494301252584,0.07921338315067952,0.07904172969560985
-91.01944934281697,0.07923821669040523,0.07905518243243237
-90.790048171586,0.07926303962118136,0.07906860126486952
-90.56122515132856,0.0792878519269612,0.07908198627833793
-90.33297882455427,0.07931265359155014,0.07909533755809357
-90.10530773743483,0.07933744459847362,0.07910865518917821
-89.87821044102455,0.07936222493097853,0.079121939256348
-89.65168548851403,0.07938699457208881,0.0791351898442341
-89.4257314382817,0.07941175350458032,0.07914840703716425
-89.200346850537,0.07943650171106426,0.07916159091935906
-88.97553029098248,0.07946123917379844,0.07917474157471784
-88.75128032745681,0.07948596587487931,0.07918785908701492
-88.52759553237625,0.07951068179616227,0.07920094353975689
-88.30447448090358,0.07953538691929042,0.07921399501628966
-88.08191575247393,0.0795600812256415,0.07922701359970924
-87.85991792987934,0.0795847646964394,0.0792399993729153
-87.63847959987902,0.07960943731259064,0.0792529524185754
