t_over_M,linear_h20_real_over_nu_M_over_R,linear_h20_imag_over_nu_M_over_R,delta_hD20_real_over_nu_M_over_R,delta_hD20_imag_over_nu_M_over_R,delta_hS20_real_over_nu_M_over_R,delta_hS20_imag_over_nu_M_over_R,nonlinear_null_total_h20_real_over_nu_M_over_R,nonlinear_null_total_h20_imag_over_nu_M_over_R,total_h20_real_over_nu_M_over_R,total_h20_imag_over_nu_M_over_R,linear_h30_real_over_nu_M_over_R,linear_h30_imag_over_nu_M_over_R,delta_hD30_real_over_nu_M_over_R,delta_hD30_imag_over_nu_M_over_R,delta_hS30_real_over_nu_M_over_R,delta_hS30_imag_over_nu_M_over_R,nonlinear_null_total_h30_real_over_nu_M_over_R,nonlinear_null_total_h30_imag_over_nu_M_over_R,total_h30_real_over_nu_M_over_R,total_h30_imag_over_nu_M_over_R
-1985.0,-0.01217706563767402,-4.403724173884099e-05,-1.8218866805405227e-15,-1.337695561720823e-34,-6.843984650374482e-34,6.069220622074675e-15,-1.8218866805405227e-15,6.069220622074675e-15,-0.012177065637675842,-4.403724173277177e-05,0.00059913966496546,-5.771046268361439e-10,8.11215679295619e-17,4.6111563587559184e-36,3.543711097672514e-34,-8.235070747882268e-16,8.11215679295619e-17,-8.235070747882268e-16,0.0005991396649655411,-5.771054503432187e-10
-1984.5,-0.01217994201957132,-4.4070707650768065e-05,-1.8824485910689624e-15,-1.0227428924057753e-34,8.344669263041017e-34,4.442345296670797e-15,-1.8824485910689624e-15,4.442345296670797e-15,-0.012179942019573202,-4.407070764632572e-05,0.0005992778679393517,3.7303835276857045e-09,8.38365487481382e-17,9.267524581233164e-36,1.018061976042648e-32,-7.039376792364086e-16,8.383654874813822e-17,-7.039376792364086e-16,0.0005992778679394355,3.730382823748025e-09
-1984.0,-0.012182830080549278,-4.409724297696309e-05,-1.9434812572630975e-15,-9.905344863401057e-35,1.7760155575161335e-33,2.3641743819726464e-15,-1.9434812572630975e-15,2.3641743819726464e-15,-0.01218283008055122,-4.409724297459891e-05,0.0005994192004606627,6.982208168517141e-09,8.662135974842461e-17,1.3770570724543958e-35,1.6214481238993916e-32,-5.299622685351128e-16,8.662135974842462e-17,-5.299622685351128e-16,0.0005994192004607494,6.982207638554873e-09
-1983.5,-0.012185731124903938,-4.411553818689951e-05,-2.0050645300247717e-15,-9.118388712325535e-35,3.869578444262834e-34,8.954186599385249e-18,-2.0050645300247717e-15,8.954186599385249e-18,-0.012185731124905943,-4.411553818689056e-05,0.0005995632144683139,8.805063229477394e-09,8.947193248387558e-17,1.626145265789119e-35,8.70905520851908e-33,-3.305568356364926e-16,8.94719324838756e-17,-3.305568356364926e-16,0.0005995632144684033,8.805062898920558e-09
-1983.0,-0.0121886454631057,-4.412502653016511e-05,-2.0672348862015805e-15,-7.546100005504305e-35,-7.407896938091064e-34,-2.4093548001998977e-15,-2.0672348862015805e-15,-2.4093548001998977e-15,-0.012188645463107767,-4.4125026532574466e-05,0.0005997092454944122,9.090113884757754e-09,9.237865412472609e-17,1.6437833234243375e-35,1.7146631332077336e-32,-1.359164608687388e-16,9.23786541247261e-17,-1.359164608687388e-16,0.0005997092454945045,9.090113748841293e-09
-1982.5,-0.012191572409494358,-4.412597844077708e-05,-2.1299795485331487e-15,-7.963244995364401e-35,-1.1546335202590357e-33,-4.657610812364386e-15,-2.1299795485331487e-15,-4.657610812364386e-15,-0.012191572409496488,-4.412597844543469e-05,0.0005998564934767513,7.985583753717523e-09,9.532698828311063e-17,1.7072675415325862e-35,1.4653707612062498e-32,2.6742956891783785e-17,9.532698828311064e-17,2.6742956891783785e-17,0.0005998564934768466,7.985583780460481e-09
-1982.0,-0.012194510377670442,-4.4119508708207085e-05,-2.193236363688941e-15,-8.714263382207384e-35,-3.0297189141144487e-33,-6.5077872123606604e-15,-2.193236363688941e-15,-6.5077872123606604e-15,-0.012194510377672635,-4.411950871471487e-05,0.0006000041089725115,5.849326153702181e-09,9.829880310777196e-17,1.7292104358046684e-35,1.559047993701245e-32,1.3652403389549192e-16,9.829880310777198e-17,1.3652403389549192e-16,0.0006000041089726098,5.849326290226216e-09
-1981.5,-0.012197457060226034,-4.410749159425905e-05,-2.2568999443692513e-15,-9.100677919973499e-35,-1.3865540041621467e-33,-7.76243185475618e-15,-2.2568999443692513e-15,-7.76243185475618e-15,-0.012197457060228291,-4.4107491602021484e-05,0.0006001512760526662,3.1742520995047853e-09,1.0127434844392722e-16,1.5286839712175276e-35,1.8345243462616455e-32,1.809732845366147e-16,1.0127434844392723e-16,1.809732845366147e-16,0.0006001512760527675,3.17425228047807e-09
-1981.0,-0.012200409669926589,-4.409238973116219e-05,-2.3208335962797754e-15,-8.579146801221163e-35,-4.266628161597707e-33,-8.278316848028634e-15,-2.3208335962797754e-15,-8.278316848028634e-15,-0.01220040966992891,-4.4092389739440506e-05,0.0006002972852924014,5.029154719082309e-10,1.0423461893986544e-16,1.5002859084926224e-35,1.7083152681110333e-32,1.5685338633066545e-16,1.0423461893986545e-16,1.5685338633066545e-16,0.0006002972852925056,5.029156287616172e-10
-1980.5,-0.012203365214869455,-4.407701297170965e-05,-2.3848855532743573e-15,-5.37262207091268e-35,-1.4319674322507976e-33,-7.985277811073042e-15,-2.3848855532743573e-15,-7.985277811073042e-15,-0.01220336521487184,-4.407701297969493e-05,0.0006004415927343994,-1.6529339980086988e-09,1.0716370454018004e-16,1.7140942249749865e-35,2.371081688013124e-32,6.963869113643209e-17,1.0716370454018006e-16,6.963869113643209e-17,0.0006004415927345065,-1.6529339283700077e-09
