t_minus_t0_M,NRHybSur3dq8_CCE_energy_radiated_over_M,SEOBNRv5EHM_energy_radiated_over_M,NRHybSur3dq8_CCE_angular_momentum_z_radiated_over_M2,SEOBNRv5EHM_angular_momentum_z_radiated_over_M2,NRHybSur3dq8_CCE_planar_momentum_over_M,SEOBNRv5EHM_planar_momentum_over_M
36720.0,8.541080999589238e-06,8.539691233410011e-06,0.004630935702988489,0.004630168777763914,4.51625341987964e-09,4.514562184089039e-09
37133.0,8.638419256424263e-06,8.637013580183416e-06,0.004683502696429161,0.004682727011652393,2.172393216081025e-09,2.1713922242750425e-09
37600.0,8.748519327187436e-06,8.74709556993635e-06,0.004742955955810118,0.0047421703391178705,8.418542224020915e-10,8.42064833189522e-10
38017.0,8.846862609855471e-06,8.845422618162763e-06,0.004796055532719167,0.0047952610188514945,3.41381280045166e-09,3.4132834880027013e-09
38500.0,8.960807800150317e-06,8.959348970542283e-06,0.004857573216411773,0.004856768386885924,5.746565782323197e-09,5.745131679099984e-09
38901.0,9.055438241068398e-06,9.053963776358504e-06,0.0049086582010922815,0.004907844807879289,6.8382004970393055e-09,6.836338571118395e-09
39400.0,9.173233273127872e-06,9.171739409820851e-06,0.004972242095519028,0.004971418063780862,6.889514931453477e-09,6.887360972667505e-09
39785.0,9.264145979415005e-06,9.262637198017056e-06,0.005021310647905498,0.005020478423268902,5.929882961699881e-09,5.928043294587652e-09
40300.0,9.385795660597615e-06,9.384267000102185e-06,0.005086962562272231,0.0050861194036734125,3.5148428453323128e-09,3.513365001029805e-09
40669.0,9.472985878357045e-06,9.47144298477249e-06,0.0051340128858025766,0.0051331618945690775,1.2624656176750507e-09,1.261640979225583e-09
41200.0,9.5984952381315e-06,9.596931879434356e-06,0.005201734706171511,0.005200872447204431,2.170826498280386e-09,2.1706675421563574e-09
41553.0,9.681958296979213e-06,9.680381298695941e-06,0.0052467650357634074,0.005245895271925478,4.212803898030417e-09,4.212130082964442e-09
42080.0,9.806601210623687e-06,9.805003813029857e-06,0.005314006463104222,0.005313125480043844,6.377812047323732e-09,6.376140532454301e-09
42438.0,9.891300221429894e-06,9.889688916085635e-06,0.005359694855855474,0.005358806231998691,7.0154528035455756e-09,7.013533501624077e-09
42980.0,1.0019573205659245e-05,1.0017940798180263e-05,0.005428881179795907,0.005427980971100952,6.5257334727967025e-09,6.52358731666654e-09
43322.0,1.0100538729384138e-05,1.0098892975621031e-05,0.005472547183469648,0.0054716396543449085,5.361059215453159e-09,5.3591945987616695e-09
43880.0,1.0232683121612772e-05,1.0231015573053759e-05,0.00554380780077049,0.005542888324330624,2.3883070985789015e-09,2.3870809652379133e-09
44206.0,1.0309910306073538e-05,1.030823000903009e-05,0.005585449583014963,0.0055845231233037,3.1328896766872635e-10,3.1210332080264653e-10
44780.0,1.044593099082806e-05,1.044422827266777e-05,0.005658786325204415,0.005657847581397738,3.324158729284143e-09,3.3236611131245162e-09
