t_minus_t0_M,qnm_delta_hD20_real_over_abs_A220_squared_M_over_R,qnm_delta_hD20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS20_real_over_abs_A220_squared_M_over_R,qnm_delta_hS20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hD30_real_over_abs_A220_squared_M_over_R,qnm_delta_hD30_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS30_real_over_abs_A220_squared_M_over_R,qnm_delta_hS30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD20_real_over_abs_A220_squared_M_over_R,analytic_delta_hD20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS20_real_over_abs_A220_squared_M_over_R,analytic_delta_hS20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD30_real_over_abs_A220_squared_M_over_R,analytic_delta_hD30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS30_real_over_abs_A220_squared_M_over_R,analytic_delta_hS30_imag_over_abs_A220_squared_M_over_R
1.328125,0.015400826065380707,-2.666141591038517e-20,-4.256712567710966e-20,-0.012881175507660143,0.002689707471228886,-5.319544526158201e-21,-1.4610148459487528e-21,-0.002223257355608763,0.015400774934036984,4.1364050535230533e-19,-7.180206425659087e-22,-0.012881175507660186,0.002689698541295088,2.4111650771773084e-22,-4.9476064820482344e-21,-0.002223257355608767
1.3671875,0.015805645166117214,-2.1947589923985346e-20,-3.8841910991911036e-20,-0.013219764221233225,0.0027604078969803813,-7.166833057171142e-21,-5.3243567706648765e-20,-0.0022816968860328232,0.015805592690758274,4.2451327131265355e-19,-7.368942062046258e-22,-0.013219764221233278,0.00276039873231841,2.4745438644012163e-22,-5.077657012997554e-21,-0.00228169688603282
1.40625,0.016207917118860833,-1.9656388139305044e-20,1.7814860496371166e-20,-0.013556222512697691,0.0028306634710753677,-7.791293668451577e-21,-1.8993247689050412e-20,-0.002339768711147621,0.016207863307943306,4.353176251255941e-19,-7.556490161589111e-22,-0.013556222512697757,0.002830654073162148,2.5375238681922902e-22,-5.2068892575856815e-21,-0.0023397687111476268
1.4453125,0.01660765795043166,-9.310592042580685e-21,-1.357486267149122e-20,-0.013890563786807456,0.0029004769925492706,-9.2218979539831e-21,-5.435959186698916e-20,-0.0023974751445788034,0.016607602812358967,4.460539972447879e-19,-7.742858196346353e-22,-0.0138905637868075,0.002900467362852434,2.600107597721708e-22,-5.335308364523391e-21,-0.002397475144578802
1.484375,0.017004883586807996,2.2224197053894968e-21,3.173210898744996e-21,-0.014222801363972722,0.0029698512428258036,-9.188093250658822e-21,-3.3633996322994884e-20,-0.0024548184853944725,0.017004827129930684,4.567228154154538e-19,-7.928053591362033e-22,-0.014222801363972755,0.0029698413828037483,2.662297546372782e-22,-5.462919450125424e-21,-0.0024548184853944778
1.5234375,0.017399609853760857,1.7966084834208544e-20,-1.4454769774406656e-20,-0.01455294848079089,0.003038788985827783,-8.971653397419105e-21,-4.839012441467343e-20,-0.0025118010181969016,0.017399552086376925,4.673245046914097e-19,-8.112083724961315e-22,-0.01455294848079091,0.0030387788969297295,2.724096191840295e-22,-5.5897275985143385e-21,-0.002511801018196899
1.5625,0.01779185247748449,2.4486090176197855e-20,-3.4097286851197896e-20,-0.014881018290573792,0.0031072929680872425,-9.053379954736333e-21,1.0515532060304063e-22,-0.002568425013213453,0.01779179340783974,4.778594874520079e-19,-8.294955929044491e-22,-0.014881018290573825,0.003107282651753295,2.785505996229216e-22,-5.715737861823072e-21,-0.0025684250132134477
1.6015625,0.01818162708522289,1.551368608617297e-20,2.278319462060682e-20,-0.015207023863871837,0.0031753659188548593,-9.122476541308337e-21,-5.712097256476624e-20,-0.0026246927263870842,0.018181566721511225,4.883281834189617e-19,-8.476677489379045e-22,-0.01520702386387186,0.003175355376516057,2.8465294061527845e-22,-5.840955260396209e-21,-0.0026246927263870842
1.640625,0.018568949205892447,9.212609535105336e-21,-1.690566714746823e-20,-0.015530978188994573,0.0032430105502086882,-9.629591638135618e-21,-6.423423715122998e-20,-0.0026806063994662347,0.018568887556256224,4.987310096730691e-19,-8.657255645889942e-22,-0.015530978188994638,0.0032429997832870705,2.9071688528299984e-22,-5.965384782990002e-21,-0.002680606399466236
1.6796875,0.018953834270700583,9.34588797311152e-21,1.8002711490197675e-20,-0.01585289417252842,0.003310229557162214,-7.542304233187497e-21,-2.733095070016122e-20,-0.0027361682600941027,0.01895377134323092,5.090683806708278e-19,-8.836697592948077e-22,-0.015852894172528487,0.0033102185670708683,2.9674267521824616e-22,-6.0890313869711265e-21,-0.0027361682600941
