nu_t_over_M,FastEMRIWaveforms_Re_h2_minus2_over_nu_M,FastEMRIWaveforms_Im_h2_minus2_over_nu_M,minus_two_phi_phi,FastEMRIWaveforms_R_h20_over_nu_M
-2.5640080610130433,0.8610685736065212,0.06856849108094415,-627536657.1784798,0.09990374768365412
-2.1282147670348066,-0.697247238870508,0.5261927354247825,-627541591.8939437,0.10025678301202928
-1.762192632252874,0.5354312049928636,-0.7018725171466884,-627545798.2133362,0.10056929276840178
-1.4555737439093497,-0.8836337342757731,0.1188553988666395,-627549370.9891486,0.10084432888777432
-1.1991841057975752,0.5316213895965333,0.7261264501558661,-627552397.4150473,0.1010851961702817
-0.985190056537362,0.8410407515551515,0.34173567747659117,-627554954.1182998,0.10129512225530617
-0.8069560016073778,0.357537130976515,-0.8425231984341621,-627557107.6952279,0.10147717334108389
-0.6589273203501027,-0.9118757696590103,0.13778192667484818,-627558915.1303385,0.10163416673328245
-0.5361882773405023,-0.4036645506234289,0.8364584256626081,-627560428.4066662,0.10176896868029127
-0.43469770462304325,-0.12624586876553456,0.9263145908167633,-627561691.0126665,0.10188410604917345
-0.3509471073044975,-0.9338118443156737,0.11258698023783288,-627562741.6199211,0.10198201155241064
-0.2820230197897222,0.564859861754773,0.7586845375920959,-627563612.891863,0.10206484856539087
-0.2254307159725125,0.36020156508672657,-0.8799070190947857,-627564333.3451232,0.10213462416676024
-0.17908888982294702,-0.3941606210449773,0.8702150437801809,-627564927.1429036,0.10219311992498281
-0.14123823082428705,0.9399967221957407,-0.19252285888680512,-627565415.0332742,0.10224193948466549
-0.11040604656773507,-0.884046984658481,-0.3827975069741247,-627565814.6262342,0.10228250060263354
-0.08536021875144442,-0.9622746663867341,0.09451738477512749,-627566140.8453786,0.10231605058555387
-0.06507156019558971,-0.10016093184350638,-0.9649637677284426,-627566406.3044934,0.10234368030811788
-0.048683836193896025,0.9731052984720183,0.0034513681436575505,-627566621.6106207,0.10236633563826893
-0.03548635234215843,-0.29877782396814706,-0.9289473900385866,-627566795.6543425,0.1023848316877372
-0.024890405814882943,0.973410286975936,0.09740024096064843,-627566935.8661832,0.10239986707645303
-0.01640974962319078,0.891068738143044,-0.4091218811123758,-627567048.4334204,0.10241203688966953
-0.00964387664054577,-0.08888191203062794,0.9784937728465686,-627567138.4898776,0.10242184510322222
-0.004263847217746448,-0.3613127683373129,-0.915638491175721,-627567210.2801292,0.1024297161688665
0.0,0.09861379035676089,-0.9810501778410609,-627567267.3048722,0.10243600587743107
